,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
258,1263,1,1,Sestriere,Torino,Piemonte,921,TO,0.051017375750290236,0.40486058592796326
259,1264,1,1,Settimo Rottaro,Torino,Piemonte,466,TO,0.04422377726483618,0.6739521026611328
260,1265,1,1,Settimo Torinese,Torino,Piemonte,47006,TO,0.0377499189658627,0.8658542037010193
261,1266,1,1,Settimo Vittone,Torino,Piemonte,1541,TO,0.12520892075186,0.45392610132694244
262,1267,1,1,Sparone,Torino,Piemonte,961,TO,0.05590306956676739,0.3640904128551483
263,1268,1,1,Strambinello,Torino,Piemonte,269,TO,0.054825669206269495,0.5790491104125977
264,1269,1,1,Strambino,Torino,Piemonte,6170,TO,0.02827216789714683,0.7918854057788849
265,1270,1,1,Susa,Torino,Piemonte,6174,TO,0.041779689339172296,0.7089210152626038
266,1271,1,1,Tavagnasco,Torino,Piemonte,771,TO,0.12356999065244853,0.5008886009454727
267,1272,1,1,Torino,Torino,Piemonte,857910,TO,0.08691877241865749,0.8914706110954285
268,1273,1,1,Torrazza Piemonte,Torino,Piemonte,2971,TO,0.013868989335186918,0.825355589389801
269,1274,1,1,Torre Canavese,Torino,Piemonte,603,TO,0.06629298166638924,0.5877087712287903
270,1275,1,1,Torre Pellice,Torino,Piemonte,4497,TO,0.07798606584945524,0.47810718417167664
271,1276,1,1,Trana,Torino,Piemonte,3809,TO,0.1040369593355075,0.6105719804763794
272,1278,1,1,Traversella,Torino,Piemonte,323,TO,0.1404642210904932,0.2008126825094223
273,1279,1,1,Traves,Torino,Piemonte,528,TO,0.040636098503315746,0.3532308042049408
274,1280,1,1,Trofarello,Torino,Piemonte,10823,TO,0.026966146101473347,0.8476380705833435
275,1281,1,1,Usseaux,Torino,Piemonte,189,TO,0.04915715709307067,0.3166975677013397
276,1282,1,1,Usseglio,Torino,Piemonte,200,TO,0.0822832254572654,0.23458848893642426
277,1283,1,1,Vaie,Torino,Piemonte,1414,TO,0.10767511774660801,0.48237693309783936
