,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1240,8028,8,7,Diano San Pietro,Imperia,Liguria,1097,IM,1.867426469045527,1.9913301800872676,1.0575000047683716
1241,8029,8,7,Dolceacqua,Imperia,Liguria,2032,IM,1.6377026954212703,2.1901776708794367,0.9100000262260437
1242,8030,8,7,Dolcedo,Imperia,Liguria,1313,IM,1.0856637210972542,0.9708272454974038,0.6549999713897705
1243,8031,8,7,Imperia,Imperia,Liguria,41969,IM,7.786799981117248,9.420408909309003,4.0000001192092896
1244,8032,8,7,Isolabona,Imperia,Liguria,675,IM,0.6590972182651361,0.5984437681385388,0.3999999910593033
1245,8033,8,7,Lucinasco,Imperia,Liguria,278,IM,1.5865908881480044,1.4296275250188601,1.1449999809265137
1246,8034,8,7,Mendatica,Imperia,Liguria,169,IM,0.6217941212303498,0.716025721755288,0.38999998569488525
1247,8035,8,7,Molini di Triora,Imperia,Liguria,592,IM,0.4771036579296356,0.40110858944783495,0.3700000047683716
1248,8037,8,7,Montegrosso Pian Latte,Imperia,Liguria,116,IM,0.48212963177098167,0.35239734644112425,0.3449999988079071
1249,8038,8,7,Olivetta San Michele,Imperia,Liguria,191,IM,0.841103889725425,0.7601527498409876,0.48500001430511475
1250,8039,8,7,Ospedaletti,Imperia,Liguria,3116,IM,6.290535701172693,6.701834678892003,2.5649999380111694
1251,8040,8,7,Perinaldo,Imperia,Liguria,815,IM,0.9933333361038456,0.7671339319026917,0.7425000071525574
1252,8041,8,7,Pietrabruna,Imperia,Liguria,442,IM,1.040267854396786,0.6459858350738752,0.7949999868869781
1253,8042,8,7,Pieve di Teco,Imperia,Liguria,1334,IM,0.7304148447565637,0.6679066398043717,0.5
1254,8043,8,7,Pigna,Imperia,Liguria,768,IM,0.48216393394548385,0.44104577561060954,0.36000001430511475
1255,8044,8,7,Pompeiana,Imperia,Liguria,844,IM,3.0506451264504464,2.9963664658299956,1.2649999856948853
1256,8045,8,7,Pontedassio,Imperia,Liguria,2307,IM,2.9933333603872194,2.6079580541182295,2.097499966621399
1257,8046,8,7,Pornassio,Imperia,Liguria,654,IM,0.9071328742103977,0.8405845338290294,0.5049999952316284
1258,8047,8,7,Prelà,Imperia,Liguria,469,IM,0.7145625028759242,0.3444608105306474,0.5525000095367432
1259,8048,8,7,Ranzo,Imperia,Liguria,547,IM,0.8563333322604497,0.36407173129532294,0.7724999785423279
1260,8049,8,7,Rezzo,Imperia,Liguria,311,IM,0.5019951945600601,0.3879451401552631,0.3700000047683716
1261,8050,8,7,Riva Ligure,Imperia,Liguria,2804,IM,8.576818097721446,3.952425563612035,8.245000839233398
1262,8051,8,7,Rocchetta Nervina,Imperia,Liguria,282,IM,0.48244047945454005,0.38504753294630883,0.3675000071525574
1263,8052,8,7,San Bartolomeo al Mare,Imperia,Liguria,3052,IM,5.242822546151377,5.735368942487415,3.1649999618530273
1264,8053,8,7,San Biagio della Cima,Imperia,Liguria,1253,IM,3.4319565062937527,2.086858292711794,3.430000066757202
1265,8054,8,7,San Lorenzo al Mare,Imperia,Liguria,1259,IM,15.5591668287913,6.866643091831454,16.765000343322754
1266,8055,8,7,Sanremo,Imperia,Liguria,52622,IM,10.489223368538235,15.398134588360326,3.809999942779541
1267,8056,8,7,Santo Stefano al Mare,Imperia,Liguria,2050,IM,8.850333213806152,3.4058715069093872,7.855000019073486
1268,8057,8,7,Seborga,Imperia,Liguria,280,IM,1.5605172288828884,0.6497908637681747,1.465000033378601
1269,8058,8,7,Soldano,Imperia,Liguria,997,IM,1.9204999893903731,1.3174064206935585,1.3550000190734863
1270,8059,8,7,Taggia,Imperia,Liguria,13915,IM,4.987117671265322,8.08417455848728,0.7350000143051147
1271,8060,8,7,Terzorio,Imperia,Liguria,233,IM,3.2320000350475313,1.708556754629537,3.602500081062317
1272,8061,8,7,Triora,Imperia,Liguria,346,IM,0.4114228752540781,0.35595359892860096,0.3400000035762787
1273,8062,8,7,Vallebona,Imperia,Liguria,1278,IM,3.1343749910593033,1.9880548359761434,2.5350000858306885
1274,8063,8,7,Vallecrosia,Imperia,Liguria,6834,IM,10.867750096321107,7.512513414992267,7.0950000286102295
1275,8064,8,7,Vasia,Imperia,Liguria,382,IM,0.9999193587610798,0.6592851050312224,0.8100000023841858
1276,8065,8,7,Ventimiglia,Imperia,Liguria,23911,IM,3.9073920223205985,7.094445242969528,1.0449999570846558
1277,8066,8,7,Vessalico,Imperia,Liguria,245,IM,0.8374137934939615,0.49609009313797786,0.6949999928474426
1278,8067,8,7,Villa Faraldi,Imperia,Liguria,447,IM,1.4722321491156305,0.9337433934972543,1.215000033378601
1279,8068,8,7,Montalto Carpasio,Imperia,Liguria,491,IM,0.6653987736058381,0.654856571990368,0.42000001668930054
1280,9001,9,7,Alassio,Savona,Liguria,10538,SV,5.254218769570191,7.179984308148919,2.1725000143051147
1281,9002,9,7,Albenga,Savona,Liguria,23524,SV,11.133974952697754,12.361731560705332,7.679999828338623
1282,9003,9,7,Albissola Marina,Savona,Liguria,5286,SV,9.88411758927738,7.143297322548807,8.664999961853027
1283,9004,9,7,Albisola Superiore,Savona,Liguria,9800,SV,2.758950612059346,4.870477661257026,0.8449999988079071
1284,9005,9,7,Altare,Savona,Liguria,1994,SV,3.4463492206164767,3.131438177401321,2.4050002098083496
1285,9006,9,7,Andora,Savona,Liguria,7327,SV,6.380593187391421,7.94555738362829,2.4149999618530273
1286,9007,9,7,Arnasco,Savona,Liguria,590,SV,1.410810825792519,0.8747583031413966,1.1150000095367432
1287,9008,9,7,Balestrino,Savona,Liguria,539,SV,1.0822222242279658,0.7208487148485733,0.8650000095367432
1288,9009,9,7,Bardineto,Savona,Liguria,754,SV,0.8004216925207391,0.8562538371973795,0.48250001668930054
1289,9010,9,7,Bergeggi,Savona,Liguria,1066,SV,17.417726944793355,23.208033076805854,7.974999904632568
1290,9011,9,7,Boissano,Savona,Liguria,2514,SV,3.3921110848585765,4.021949535428552,0.8799999952316284
1291,9012,9,7,Borghetto Santo Spirito,Savona,Liguria,4629,SV,12.046379130462121,10.677644081707465,9.335000038146973
1292,9013,9,7,Borgio Verezzi,Savona,Liguria,2119,SV,13.27966661453247,8.044728034582974,11.59000015258789
